term.id	term.name	term.size	p.value
GO:0097659	nucleic acid-templated transcription	678	3.98e-34
GO:0006351	transcription, DNA-templated	678	3.98e-34
GO:0032774	RNA biosynthetic process	680	5.97e-34
GO:1901362	organic cyclic compound biosynthetic process	918	1.64e-33
GO:0034654	nucleobase-containing compound biosynthetic process	823	4.25e-33
GO:0006325	chromatin organization	325	9.56e-33
GO:0019438	aromatic compound biosynthetic process	874	1e-32
GO:0018130	heterocycle biosynthetic process	883	1.24e-32
GO:0031981	nuclear lumen	764	4.58e-30
GO:0051171	regulation of nitrogen compound metabolic process	777	2.1e-27
GO:0043933	macromolecular complex subunit organization	867	1.6e-25
GO:0010556	regulation of macromolecule biosynthetic process	725	4.11e-25
GO:0006366	transcription from RNA polymerase II promoter	484	8.43e-25
GO:2000112	regulation of cellular macromolecule biosynthetic process	718	1.58e-24
GO:0019219	regulation of nucleobase-containing compound metabolic process	666	6.25e-24
GO:0010468	regulation of gene expression	697	7.28e-24
GO:0031326	regulation of cellular biosynthetic process	755	1.46e-23
GO:0009889	regulation of biosynthetic process	756	1.71e-23
GO:0034728	nucleosome organization	73	6.5e-23
GO:0060255	regulation of macromolecule metabolic process	902	8.02e-23
GO:0080090	regulation of primary metabolic process	917	6.22e-22
GO:0031323	regulation of cellular metabolic process	930	3.5e-21
GO:0019222	regulation of metabolic process	951	6.14e-21
GO:2001141	regulation of RNA biosynthetic process	577	1.08e-20
GO:1903506	regulation of nucleic acid-templated transcription	577	1.08e-20
GO:0006355	regulation of transcription, DNA-templated	577	1.08e-20
GO:1901363	heterocyclic compound binding	944	2.14e-20
GO:0051252	regulation of RNA metabolic process	596	2.2e-20
GO:0071824	protein-DNA complex subunit organization	164	4.28e-20
GO:0097159	organic cyclic compound binding	954	7.56e-20
GO:0005654	nucleoplasm	272	4.41e-19
GO:0003676	nucleic acid binding	879	1.81e-18
GO:0006338	chromatin remodeling	90	3.37e-18
GO:0043044	ATP-dependent chromatin remodeling	38	1.39e-17
GO:0044451	nucleoplasm part	244	1.6e-17
GO:0006357	regulation of transcription from RNA polymerase II promoter	413	2.07e-17
GO:0000785	chromatin	141	2.74e-17
GO:0070603	SWI/SNF superfamily-type complex	59	4.82e-17
GO:0006333	chromatin assembly or disassembly	63	6.06e-17
GO:0000790	nuclear chromatin	116	1.09e-15
GO:0051172	negative regulation of nitrogen compound metabolic process	346	1.27e-15
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	310	2.74e-15
GO:0009892	negative regulation of metabolic process	402	6.16e-14
GO:0010605	negative regulation of macromolecule metabolic process	375	7.62e-14
GO:0051173	positive regulation of nitrogen compound metabolic process	386	1.51e-13
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	346	2.12e-13
GO:0044427	chromosomal part	336	4.19e-13
GO:0010604	positive regulation of macromolecule metabolic process	443	4.26e-13
GO:0031324	negative regulation of cellular metabolic process	400	4.71e-13
GO:0009893	positive regulation of metabolic process	463	9.3e-13
GO:0005694	chromosome	362	1.03e-12
GO:0010629	negative regulation of gene expression	307	1.07e-12
GO:0051253	negative regulation of RNA metabolic process	275	1.4e-12
GO:0010558	negative regulation of macromolecule biosynthetic process	323	1.66e-12
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	323	1.66e-12
GO:0010557	positive regulation of macromolecule biosynthetic process	358	1.72e-12
GO:0009890	negative regulation of biosynthetic process	345	2.06e-12
GO:0031327	negative regulation of cellular biosynthetic process	345	2.06e-12
GO:1902679	negative regulation of RNA biosynthetic process	272	2.85e-12
GO:1903507	negative regulation of nucleic acid-templated transcription	272	2.85e-12
GO:0045892	negative regulation of transcription, DNA-templated	272	2.85e-12
GO:0048519	negative regulation of biological process	548	3.09e-12
GO:0010628	positive regulation of gene expression	355	3.42e-12
