id	number_of_trees	number_of_internal_trees	model_size_in_bytes	min_depth	max_depth	mean_depth	min_leaves	max_leaves	mean_leaves	trainingAuc	validAuc	xValidationAuc	testAuc	validMaxF1	validMaxF2
DRF_model_R_1482893981494_1	16	16	65705	20	20	20	279	366	320.5625	0.741770042380364	0.811798568111455	0.819133965314521	0.784661853543539	0.380434782608696	0.489849955869373
DRF_model_R_1482893981494_10224	200	200	1112181	20	20	20	364	505	434.125	0.993306057641613	0.798858359133127	0.804889035861258	0.792618240754383	0.345762711864407	0.467695274831244
DRF_model_R_1482893981494_19069	14	14	93721	28	30	29.857143	475	569	523	0.995235780363563	0.781951431888545	0.784354791299236	0.794371592750847	0.319727891156463	0.44811320754717
DRF_model_R_1482893981494_19798	14	14	72650	28	30	29.857143	358	441	404.57144	0.972926543855237	0.778359616873065	0.77971083186361	0.821600117872403	0.361581920903955	0.474095796676442
DRF_model_R_1482893981494_20503	17	17	114813	28	30	29.882353	475	569	527.4706	0.997053567071683	0.791950464396285	0.783437316284538	0.80390452335347	0.326848249027237	0.463414634146341
DRF_model_R_1482893981494_21348	50	50	334327	28	30	29.92	441	587	522.1	0.998958007625003	0.803531346749226	0.810591196355085	0.809415058199499	0.346863468634686	0.483114446529081
DRF_model_R_1482893981494_23593	100	100	668518	28	30	29.96	441	587	522.07	0.999320423855107	0.805089009287926	0.813648589065256	0.813157506998674	0.345238095238095	0.490943755958055
DRF_model_R_1482893981494_28038	200	200	1112181	20	20	20	364	505	434.125	0.993306057641613	0.798858359133127	0.804889035861258	0.792618240754383	0.345762711864407	0.467695274831244
DRF_model_R_1482893981494_810	200	200	780494	20	20	20	241	371	304.305	0.832187316284538	0.835898800309598	0.836908068783069	0.858862531309857	0.407017543859649	0.527638190954774
DRF_model_R_1482893981494_9655	11	11	62716	20	20	20	402	505	445.54544	0.981136141546988	0.7500048374613	0.760657333921223	0.756947104759098	0.328282828282828	0.411320754716981
