Complex name	Complex size	Organism	Number of RNA-binding subunits	Number of SUMOylated subunits	RNA binding	SUMOylated	RNA.SUMO
BCL6-HDAC4 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
BCL6-HDAC5 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
BCL6-HDAC7 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Multisubunit ACTR coactivator complex	4	human	1	0	TRUE	FALSE	TRUE.FALSE
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
MUS81-CDS1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NCOR complex	6	human	0	2	FALSE	TRUE	FALSE.TRUE
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	8	human	0	0	FALSE	FALSE	FALSE.FALSE
Arp2/3 protein complex	7	human	0	6	FALSE	TRUE	FALSE.TRUE
PA28gamma complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
PA28 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PA700 complex	20	human	2	15	TRUE	TRUE	TRUE.TRUE
AP1 adaptor complex	8	human	0	1	FALSE	TRUE	FALSE.TRUE
Mi-2/NuRD-MTA2 complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
DNMT3B complex	7	human	1	6	TRUE	TRUE	TRUE.TRUE
HDAC4-ERK1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
HDAC4-ERK2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SMRT complex	5	human	0	2	FALSE	TRUE	FALSE.TRUE
AP3 adapter complex	7	human	0	0	FALSE	FALSE	FALSE.FALSE
Interferon-stimulated gene factor 3 transcription complex ISGF3	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Mi2/NuRD complex	7	human	2	7	TRUE	TRUE	TRUE.TRUE
