Entry	Protein names	Gene names	Gene names  (primary )	Cross-reference (GeneID)	Cross-reference (Ensembl)	Length	Mass	Status
P40433	6-phosphofructo-2-kinase 1 (6PF-2-K 1) (EC 2.7.1.105) (Phosphofructokinase 2 I)	PFK26 YIL107C	PFK26	854699;		827	93,417	reviewed
Q02895	Putative aryl-alcohol dehydrogenase AAD16 (EC 1.1.1.-)	AAD16 YPL088W	AAD16	856017;		342	39,683	reviewed
Q00955	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACC1 ABP2 FAS3 MTR7 YNR016C N3175	ACC1	855750;		2233	250,353	reviewed
P31787	Acyl-CoA-binding protein (ACBP)	ACB1 ACB YGR037C	ACB1	852925;		87	10,061	reviewed
P31383	Protein phosphatase PP2A regulatory subunit A (PR65)	TPD3 YAL016W FUN32	TPD3	851217;		635	70,907	reviewed
Q00362	Protein phosphatase PP2A regulatory subunit B (Cell division control protein 55) (PR55)	CDC55 YGL190C G1345	CDC55	852685;		526	59,662	reviewed
P38720	6-phosphogluconate dehydrogenase, decarboxylating 1 (EC 1.1.1.44)	GND1 YHR183W	GND1	856589;		489	53,543	reviewed
P47182	Putative aryl-alcohol dehydrogenase AAD10 (EC 1.1.1.-)	AAD10 YJR155W J2245	AAD10	853620;		288	32,570	reviewed
P43547	Putative aryl-alcohol dehydrogenase AAD6 (EC 1.1.1.-)	AAD6 YFL056C	AAD6			212	23,919	reviewed
Q01802	Aspartate aminotransferase, mitochondrial (EC 2.6.1.1) (Transaminase A)	AAT1 YKL106W YKL461	AAT1	853755;		451	51,795	reviewed
P38903	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)	RTS1 SCS1 YOR014W OR26.04	RTS1	854179;		757	85,335	reviewed
P53319	6-phosphogluconate dehydrogenase, decarboxylating 2 (EC 1.1.1.44)	GND2 YGR256W G9170	GND2	853172;		492	53,923	reviewed
Q07747	Probable aryl-alcohol dehydrogenase AAD4 (EC 1.1.1.-)	AAD4 YDL243C	AAD4	851354;		329	36,977	reviewed
P23542	Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)	AAT2 ASP5 YLR027C L1746	AAT2	850714;		418	46,058	reviewed
Q08981	APC/C-CDH1 modulator 1	ACM1 YPL267W	ACM1	855861;		209	23,870	reviewed
P47096	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)	BNA1 HAD1 YJR025C J1550	BNA1	853482;		177	20,235	reviewed
P25612	Putative aryl-alcohol dehydrogenase AAD3 (EC 1.1.1.-)	AAD3 YCR107W	AAD3	850471;		363	40,911	reviewed
P32357	A1 cistron-splicing factor AAR2	AAR2 YBL074C YBL06.06 YBL0611	AAR2	852205;		355	41,688	reviewed
Q12031	Mitochondrial 2-methylisocitrate lyase (Methylisocitrate lyase) (EC 4.1.3.30)	ICL2 YPR006C LPZ6C YP9723.06C	ICL2	856114;		575	64,976	reviewed
P21147	Acyl-CoA desaturase 1 (EC 1.14.19.1) (Delta 9 fatty acid desaturase) (Fatty acid desaturase 1) (Stearoyl-CoA desaturase 1)	OLE1 YGL055W	OLE1	852825;		510	58,403	reviewed
P19414	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO1 GLU1 YLR304C L8003.22	ACO1	851013;		778	85,368	reviewed
P12904	5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4)	SNF4 CAT3 SCI1 YGL115W	SNF4	852763;		322	36,401	reviewed
Q02486	ARS-binding factor 2, mitochondrial	ABF2 HIM1 YMR072W YM9916.11	ABF2	855094;		183	21,562	reviewed
P15891	Actin-binding protein	ABP1 YCR088W YCR88W	ABP1	850450;		592	65,576	reviewed
P32316	Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)	ACH1 YBL015W YBL03.18 YBL0304	ACH1	852266;		526	58,712	reviewed
P42884	Putative aryl-alcohol dehydrogenase AAD14 (EC 1.1.1.-)	AAD14 YNL331C N0300	AAD14	855385;		376	41,991	reviewed
P08521	Arginine attenuator peptide (AAP) (CPA1 leader peptide)	YOR302W		854478;		25	2,979	reviewed
Q08641	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase (EC 2.1.1.268) (Actin-binding protein of 140 kDa) (tRNA methyltransferase of 140 kDa)	ABP140 TRM140 YOR239W YOR240W	ABP140	854414;		628	71,486	reviewed
P47146	Aberrant microtubules protein 1	ABM1 YJR108W J1988	ABM1	853572;		123	14,204	reviewed
P40535	ATF/CREB activator 2 (Chromosome stability protein CST6)	CST6 ACA2 YIL036W	CST6	854775;		587	65,264	reviewed
P21192	Metallothionein expression activator	ACE2 YLR131C L3123 L9606.10	ACE2	850822;		770	86,634	reviewed
Q03771	Assembly chaperone of RPL4	ACL4 YDR161W	ACL4	851739;		387	42,943	reviewed
P13711	Acyl-coenzyme A oxidase (Acyl-CoA oxidase) (EC 1.3.3.6)	POX1 FOX1 YGL205W	POX1	852667;		748	84,042	reviewed
P60010	Actin	ACT1 ABY1 END7 YFL039C	ACT1	850504;		375	41,690	reviewed
P47177	Putative nitronate monooxygenase (EC 1.13.12.16) (Nitroalkane oxidase)	YJR149W J2213		853614;		404	45,159	reviewed
Q12471	6-phosphofructo-2-kinase 2 (6PF-2-K 2) (EC 2.7.1.105) (Phosphofructokinase 2 II)	PFK27 YOL136C	PFK27	853984;		397	45,318	reviewed
Q08361	Putative aryl-alcohol dehydrogenase AAD15 (EC 1.1.1.-)	AAD15 YOL165C	AAD15	853999;		143	15,722	reviewed
P39970	ATF/CREB activator 1	ACA1 YER045C	ACA1	856769;		489	54,592	reviewed
P52910	Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)	ACS2 YLR153C L9634.10	ACS2	850846;		683	75,492	reviewed
Q02336	Transcriptional adapter 2	ADA2 YDR448W D9461.33	ADA2	852059;		434	50,569	reviewed
P48360	Probable NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)	ARH1 YDR376W D9481.5	ARH1	851982;		493	56,237	reviewed
P18238	ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)	AAC3 YBR085W YBR0753	AAC3	852380;		307	33,313	reviewed
P33304	Protein AFR1	AFR1 YDR085C D4471	AFR1	851658;		620	71,364	reviewed
P37898	Alanine/arginine aminopeptidase (EC 3.4.11.-)	AAP1 YHR047C	AAP1	856443;		856	97,663	reviewed
P14164	ARS-binding factor 1 (Bidirectionally acting factor 1) (DNA replication enhancer-binding protein OBF1) (SFB-B)	ABF1 BAF1 OBF1 REB2 SBF1 YKL112W YKL505	ABF1	853748;		731	81,753	reviewed
P28240	Isocitrate lyase (ICL) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)	ICL1 YER065C	ICL1	856794;		557	62,409	reviewed
P53909	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	AAH1 YNL141W N1208 N1825	AAH1	855581;		347	39,635	reviewed
Q04412	ADP-ribosylation factor GTPase-activating protein effector protein 1 (ARF GAP effector protein 1) (Suppressor of ARF1 thermosensitive mutant protein 1)	AGE1 SAT1 YDR524C D9719.28	AGE1	852136;		482	54,494	reviewed
P25376	General amino acid permease AGP1 (Asparagine/glutamine permease)	AGP1 YCL025C YCL25C	AGP1	850333;		633	69,671	reviewed
P38090	General amino acid permease AGP2	AGP2 YBR132C YBR1007	AGP2	852429;		596	67,262	reviewed
P43548	General amino acid permease AGP3	AGP3 YFL055W	AGP3	850489;		558	61,052	reviewed
P38013	Peroxiredoxin type-2 (EC 1.11.1.15) (AHPC1) (Cytoplasmic thiol peroxidase 3) (cTPx 3) (Peroxiredoxin type II) (Peroxisomal alkyl hydroperoxide reductase) (TPx type II) (Thiol-specific antioxidant II) (TSA II) (Thioredoxin peroxidase type II) (Thioredoxin reductase type II)	AHP1 YLR109W L2916 L9354.5	AHP1	850799;		176	19,115	reviewed
P47129	Assembly-complementing factor 4	ACF4 YJR083C J1857	ACF4	853545;		309	35,521	reviewed
P32463	Acyl carrier protein, mitochondrial (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	ACP1 YKL192C	ACP1	853642;		125	13,943	reviewed
P25377	NADP-dependent alcohol dehydrogenase 7 (EC 1.1.1.2) (NADP-dependent alcohol dehydrogenase VII) (ADHVII)	ADH7 YCR105W	ADH7	850469;		361	39,348	reviewed
P25371	Probable ATP-dependent permease	ADP1 YCR011C YCR105 YCR11C	ADP1	850369;		1049	117,231	reviewed
Q07732	Accumulates dyads protein 3	ADY3 YDL239C	ADY3	851359;		790	91,812	reviewed
P39925	Mitochondrial respiratory chain complexes assembly protein AFG3 (EC 3.4.24.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	AFG3 YTA10 YER017C	AFG3	856737;		761	84,544	reviewed
P22149	Iron-regulated transcriptional activator AFT1 (Activator of iron transcription protein 1)	AFT1 RCS1 YGL071W	AFT1	852809;		690	77,683	reviewed
P32323	A-agglutinin anchorage subunit (A-agglutinin cell wall attachment subunit)	AGA1 YNR044W N3431	AGA1	855780;		725	73,354	reviewed
P53109	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	AIM14 YGL160W G1837	AIM14	852716;		570	65,840	reviewed
